"Year","County","Race","Mortality Rate","Births","Deaths"
2011,"GASTON","Other",25.6410256410256,39,1
2011,"GASTON","White",4.54029511918275,1762,8
2011,"GATES","Black",0,16,0
2011,"GATES","Hispanic",0,1,0
2011,"GATES","Native American",0,1,0
2011,"GATES","White",0,19,0
2011,"GRAHAM","Black",0,1,0
2011,"GRAHAM","Hispanic",0,2,0
2011,"GRAHAM","Native American",0,11,0
2011,"GRAHAM","White",0,79,0
2011,"GRANVILLE","Black",0,162,0
2011,"GRANVILLE","Hispanic",28.169014084507,71,2
2011,"GRANVILLE","Native American",0,3,0
2011,"GRANVILLE","Other",0,9,0
2011,"GRANVILLE","White",6.55737704918033,305,2
2011,"GREENE","Black",13.1578947368421,76,1
2011,"GREENE","Hispanic",0,68,0
2011,"GREENE","Native American",0,1,0
2011,"GREENE","White",11.6279069767442,86,1
2011,"GUILFORD","Black",12.8369704749679,2337,30
2011,"GUILFORD","Hispanic",6.83060109289617,732,5
2011,"GUILFORD","Native American",0,26,0
2011,"GUILFORD","Other",0,362,0
2011,"GUILFORD","White",3.94632991318074,2534,10
2011,"HALIFAX","Black",22.7920227920228,351,8
2011,"HALIFAX","Hispanic",0,25,0
